,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,city,province,age,sex
749,KYaTynQHip,married,Other,someHighSchool,18.9063229,-70.7434892,Constanza,La Vega,44.0,female
750,tcq5Js92sI,single,Other,someHighSchool,18.9104343,-70.74768581,Constanza,La Vega,46.0,male
751,987wcUVG1m,single,Other,highschool,18.9104377,-70.74768814,Constanza,La Vega,59.0,female
752,XFpDxkonAJ,single,Comerciante,someHighSchool,18.9037186,-70.75177990000002,Constanza,La Vega,56.0,female
753,0WgpcVk8bB,concubine,Other,lessThanprimary,18.902081699999997,-70.75122890000002,Constanza,La Vega,63.0,male
754,fPRcOEsi9E,concubine,Ama de casa,primary,18.904930589976512,-70.74829924058102,Constanza,La Vega,30.0,female
755,oGPdarsOpW,single,Estudiante,someHighSchool,18.909485600000004,-70.7476061,Constanza,La Vega,18.0,female
756,hTmCjUKhKP,single,Estudiante,someHighSchool,18.909485600000004,-70.7476061,Constanza,La Vega,18.0,female
757,DI0jyjJXst,married,Other,lessThanprimary,18.912465,-70.7455642,Constanza,La Vega,47.0,male
758,SoP07XrZqT,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,,female
759,UgQDVkURBq,married,Comerciante,someHighSchool,18.9127891,-70.74574240000001,Constanza,La Vega,47.0,male
760,IKbIFJIvqV,concubine,Other,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,41.0,male
761,DbV7bH7wmb,concubine,Other,someHighSchool,18.9020022,-70.7504855,Constanza,La Vega,,female
762,OVmGYrLpAa,concubine,Agriculture,primary,18.900933321582997,-70.75813586830232,Constanza,La Vega,40.0,male
763,FhJX31Dq02,single,Other,lessThanprimary,18.912914899999997,-70.7455937,Constanza,La Vega,52.0,male
764,D0BSX9vixC,concubine,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,54.0,female
765,igBN6maYVC,widow,Other,lessThanprimary,18.902081699999997,-70.75122890000002,Constanza,La Vega,46.0,female
766,jWLfUYk2Io,concubine,Ninguna,primary,18.900498300808387,-70.75859796262417,Constanza,La Vega,36.0,female
767,kCtpHmxc0G,single,Estudiante,someHighSchool,18.909485600000004,-70.7476061,Constanza,La Vega,17.0,male
768,7zoEztVvNf,concubine,Agriculture,primary,18.900498300808387,-70.75859796262417,Constanza,La Vega,41.0,male
769,DEOHChstE0,concubine,Agriculture,lessThanprimary,18.902081699999997,-70.75122890000002,Constanza,La Vega,62.0,male
770,kjjlugYWdq,widow,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,,female
771,BGWmu6UzID,single,Comerciante,,18.9126244,-70.7447865,Constanza,La Vega,37.0,female
772,DvBWoGOrmL,single,Other,highschool,18.909485600000004,-70.7476061,Constanza,La Vega,37.0,female
773,FBWIQkx8Kv,single,Comerciante,someHighSchool,18.9126202,-70.74478559999999,Constanza,La Vega,21.0,female
774,JAHrCsp6Jy,single,Ama de casa,lessThanprimary,18.909485600000004,-70.7476061,Constanza,La Vega,59.0,female
775,ew1gi0FFRB,married,Other,lessThanprimary,18.900658143701868,-70.75747160247597,Constanza,La Vega,44.0,male
776,skzIIcfqGh,married,Ama de casa,lessThanprimary,18.90063295608284,-70.75755600824091,Constanza,La Vega,46.0,female
777,yMYqII4kxH,concubine,Other,lessThanprimary,18.9038608,-70.7428032,Constanza,La Vega,52.0,female
778,TMJBCCjpaL,concubine,Other,lessThanprimary,18.904056,-70.74273790000001,Constanza,La Vega,32.0,male
779,aq7VhSvUDB,single,Estudiante,college,18.909485600000004,-70.7476061,Constanza,La Vega,23.0,female
780,k4uI0oFqpD,concubine,Other,someHighSchool,18.9038608,-70.7428032,Constanza,La Vega,30.0,female
781,dRmrP7KIPt,single,Estudiante,highschool,18.909485600000004,-70.7476061,Constanza,La Vega,20.0,female
782,Vc6rnHcx4O,widow,Other,lessThanprimary,18.9038608,-70.7428032,Constanza,La Vega,65.0,female
783,EedIHyjr3M,widow,Other,lessThanprimary,18.9038608,-70.7428032,Constanza,La Vega,74.0,male
784,escJYXzCKH,married,Ama de casa,lessThanprimary,18.9490565,-70.6863254,Tireo,La Vega,,female
785,shFye7FwUo,married,Ama de casa,lessThanprimary,18.9490565,-70.6863254,Tireo,La Vega,53.0,female
786,sIbHU0Je4Q,single,Agriculture,lessThanprimary,18.9490565,-70.6863254,Tireo,La Vega,57.0,male
787,V4JZZBvSRd,single,Estudiante,highschool,18.912542006101702,-70.74476861770175,Constanza,La Vega,20.0,female
788,nhrmVBOH2r,married,Ama de casa,someHighSchool,18.9490565,-70.6863254,Tireo,La Vega,26.0,female
789,JEzK8fCrQc,married,Other,college,18.9042962,-70.74292729999999,Constanza,La Vega,55.0,female
790,zGFGBUHCTk,single,Other,someHighSchool,18.9043044,-70.7433506,Constanza,La Vega,45.0,female
791,k6eZ90KBHB,married,Ama de casa,lessThanprimary,18.9490565,-70.6863254,Tireo,La Vega,63.0,female
792,yGvEo6HGrC,single,Other,highschool,18.9044085,-70.74272629999999,Constanza,La Vega,48.0,female
793,YVTc5Q8oQ2,single,Other,highschool,18.91211458914205,-70.74453082756405,Constanza,La Vega,45.0,male
794,znGtHEapFU,married,Agriculture,lessThanprimary,19.2224705,-70.5196565,Tireo,La Vega,71.0,male
795,ld1Nzbz5aQ,single,Other,college,18.9043283,-70.74282190000001,Constanza,La Vega,35.0,female
796,F8mIJLh31N,concubine,Other,someHighSchool,18.9044085,-70.74272629999999,Constanza,La Vega,32.0,male
797,Gmmp9a2Dqz,single,Other,someHighSchool,18.911737699999996,-70.7441513,Constanza,La Vega,25.0,male
798,zHqWQdjlvQ,single,Other,highschool,18.9127169,-70.7445528,Constanza,La Vega,22.0,male
799,IzglApEASI,married,Other,college,18.91028521,-70.74758011,Constanza,La Vega,51.0,male
800,SCo1Ibi7Pp,single,Other,college,18.9043975,-70.74273029999999,Constanza,La Vega,39.0,female
801,rHumPTA5fG,married,Other,college,18.9132885,-70.7229801,Constanza,La Vega,42.0,female
802,hoGoiMU9XM,single,Estudiante,college,18.908213600000003,-70.73914659999998,Constanza,La Vega,36.0,female
803,eIsVRo0OGg,single,Other,highschool,18.9146,-70.72063670000001,Constanza,La Vega,20.0,male
804,aCy3Nex2fq,single,Agriculture,primary,18.9072867,-70.74181949999999,Constanza,La Vega,63.0,male
805,OowKcJzZfs,single,Other,primary,18.914534600000003,-70.7210171,Constanza,La Vega,37.0,male
806,cFa9f8pkiw,married,Other,primary,18.914534600000003,-70.7210171,Constanza,La Vega,44.0,male
807,lxguCXr1si,married,Ama de casa,lessThanprimary,18.9142233,-70.7210171,Constanza,La Vega,66.0,female
808,omjkqygC2E,married,Ama de casa,primary,18.912528299999998,-70.7217358,Constanza,La Vega,39.0,female
809,fPx7aKh3Xd,concubine,Agriculture,lessThanprimary,18.9013267,-70.75543509999999,Constanza,La Vega,45.0,male
810,xPVfSEuQdz,concubine,Other,primary,18.90144023665145,-70.75492627193594,Constanza,La Vega,32.0,female
811,dn704fluxw,single,Estudiante,highschool,18.90144023665145,-70.75492627193594,Constanza,La Vega,19.0,female
812,6J7Vyi1Dcv,concubine,Agriculture,lessThanprimary,18.902800851519128,-70.75840316719446,Constanza,La Vega,46.0,female
813,C8JmVzzNGm,single,Estudiante,highschool,18.902946277539154,-70.75830551802252,Constanza,La Vega,19.0,female
814,bF45JDexhF,concubine,Other,lessThanprimary,18.9029456069869,-70.75844046666356,Constanza,La Vega,59.0,female
815,qFybSWYB8g,,Other,lessThanprimary,18.90294975602897,-70.75859796262417,Constanza,La Vega,56.0,female
816,pvcgj708ez,single,Estudiante,college,18.903719600000002,-70.7517908,Constanza,La Vega,30.0,female
817,EjsIOSzFoq,concubine,Agriculture,someHighSchool,18.903719600000002,-70.7517908,Constanza,La Vega,,female
818,ubGFK404Z0,widow,Other,lessThanprimary,18.9037174,-70.7517899,Constanza,La Vega,,female
819,lG5CbTBkNv,married,Ama de casa,someHighSchool,18.903719600000002,-70.7517908,Constanza,La Vega,,female
820,6oOzVfYRLE,single,Ama de casa,lessThanprimary,18.912407100000003,-70.7450805,Constanza,La Vega,33.0,female
821,tB7ZV8T48d,single,Estudiante,someHighSchool,18.912044199999997,-70.74526440000001,Constanza,La Vega,22.0,female
822,A9ToVnJXiJ,married,Estudiante,college,18.9122431,-70.7455482,Constanza,La Vega,27.0,female
823,OBhathVlHE,single,Ama de casa,lessThanprimary,18.9121011,-70.7454228,Constanza,La Vega,58.0,female
824,BAizI4tUex,single,Other,lessThanprimary,18.9119266,-70.7454657,Constanza,La Vega,63.0,female
825,J1rAs2VIb0,concubine,Ama de casa,someHighSchool,18.9115827,-70.7451936,Constanza,La Vega,29.0,female
826,oOyHUsV8Pq,concubine,No trabaja,someHighSchool,18.9116411,-70.7453348,Constanza,La Vega,34.0,male
827,v1HUnQxFyZ,married,Ama de casa,lessThanprimary,18.9117027,-70.7451825,Constanza,La Vega,48.0,female
828,2s5fVJBbrH,single,Other,highschool,18.911742999999998,-70.74521740000002,Constanza,La Vega,28.0,male
829,LmIDHG5Ja1,widow,Other,lessThanprimary,18.913068300000003,-70.7455033,Constanza,La Vega,81.0,female
830,M3eKlYeoN6,married,Ama de casa,highschool,18.912576899999998,-70.7229801,Constanza,La Vega,41.0,female
831,9Hxy3BZsGk,single,Estudiante,college,18.9132486,-70.7226084,Constanza,La Vega,36.0,female
832,GpW0fYwMta,married,Estudiante,college,18.9132486,-70.7226084,Constanza,La Vega,26.0,female
833,Urz1RKEtw3,married,Other,primary,18.9035195,-70.7181479,Constanza,La Vega,43.0,female
834,ERRZghE21B,single,Estudiante,someHighSchool,18.9048316,-70.7270688,Constanza,La Vega,23.0,male
835,UFfqEotkEt,single,Other,someHighSchool,18.9132486,-70.7226084,Constanza,La Vega,35.0,male
836,1MBDOOrAJ0,single,Ama de casa,someHighSchool,18.9132486,-70.7226084,Constanza,La Vega,26.0,female
837,kLd04npi9k,single,Ama de casa,someHighSchool,18.9061459,-70.7393349,Constanza,La Vega,31.0,female
838,INVc5j01aJ,married,Ama de casa,someHighSchool,18.9132486,-70.7226084,Constanza,La Vega,35.0,female
839,HQ5GFvvocE,single,Other,primary,18.9048316,-70.7270688,Constanza,La Vega,36.0,male
840,9CCAo8K744,single,Other,someHighSchool,18.9132486,-70.7226084,Constanza,La Vega,,female
841,MMXEjZT6V4,single,Estudiante,highschool,18.9132486,-70.7226084,Constanza,La Vega,23.0,male
842,3LHxiLsUDW,single,Other,someHighSchool,18.9132486,-70.7226084,Constanza,La Vega,35.0,male
843,eqD138TaJu,married,Ama de casa,lessThanprimary,18.9048316,-70.7270688,Constanza,La Vega,50.0,female
844,jrgwspSGHZ,married,Other,lessThanprimary,18.9132486,-70.7226084,Constanza,La Vega,,male
845,WPuwKH6xQy,single,Other,college,18.9048316,-70.7270688,Constanza,La Vega,23.0,female
846,ivBXGlADU1,married,Agriculture,highschool,18.9048316,-70.7270688,Constanza,La Vega,35.0,male
847,dGlEQpXRVg,single,Estudiante,college,18.9132486,-70.7226084,Constanza,La Vega,32.0,female
848,N4adAtoz6m,single,Other,college,18.9048316,-70.7270688,Constanza,La Vega,26.0,female
849,SyVdrNzJ0r,married,Ama de casa,lessThanprimary,18.9132486,-70.7226084,Constanza,La Vega,52.0,female
