,objectId,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
917,qFybSWYB8g,moreThan10,2-3AWeek,bottled,Y,dirtWorking,poor,Other Hospital,Other Hospital,Roads,1-2,outside house,8,3,owned,
918,fPx7aKh3Xd,,,,,,,Other,Other,Other,0,other,4,0,,
919,fPx7aKh3Xd,5-10,2-3AWeek,bottled,Y,cementPoor,poor,Other Hospital,Other Hospital,Roads,1-2,street,2,0,rented,
920,pvcgj708ez,moreThan10,2-3AWeek,bottled,Y,cementWorking,poor,Other Hospital,Dentist,Roads,1-2,street,2,0,rented,
921,EjsIOSzFoq,5-10,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Other Hospital,Roads,1-2,street,5,2,rented,
922,ubGFK404Z0,moreThan10,2-3AWeek,bottled,Y,cementPoor,working,Other Hospital,Other Hospital,Water,1-2,street,3,1,owned,
923,lG5CbTBkNv,moreThan10,2-3AWeek,tap,Y,cementWorking,poor,Other Hospital,Other Hospital,Roads,1-2,street,4,0,rented,
924,6oOzVfYRLE,1-2,everyday,bottled,N,cementWorking,working,Other Hospital,Other,Lighting,1-2,other,2,0,rented,
925,tB7ZV8T48d,moreThan10,everyday,tap,Y,cementWorking,working,Other Hospital,Dentist,Delinquents,1-2,outside house,2,0,rented,
926,A9ToVnJXiJ,lessThan1,everyday,bottled,Y,cementPoor,working,Clinic,Dentist,Roads,1-2,outside house,3,1,rented,
927,OBhathVlHE,moreThan10,everyday,bottled,Y,cementWorking,working,Other Hospital,Dentist,Other,1-2,outside house,5,0,owned,
928,BAizI4tUex,moreThan10,everyday,bottled,Y,cementWorking,working,Other Hospital,Dentist,Other,1-2,outside house,5,0,rented,
929,J1rAs2VIb0,moreThan10,everyday,bottled,Y,cementPoor,poor,Other Hospital,Dentist,Lighting,1-2,outside house,5,0,rented,
930,oOyHUsV8Pq,moreThan10,everyday,bottled,Y,cementPoor,poor,Other Hospital,Dentist,Lighting,1-2,outside house,5,0,rented,
931,v1HUnQxFyZ,moreThan10,everyday,bottled,Y,cementPoor,working,Other Hospital,Other Hospital,Other,1-2,outside house,2,0,owned,
932,2s5fVJBbrH,moreThan10,everyday,bottled,Y,cementPoor,working,Other Hospital,Other Hospital,Other,1-2,outside house,2,0,owned,
